,material_id,material_formula,,,replace_id
882,mp-766801,Li4MnF8,mp-756952,,mp-756952
885,mp-625717,Mn(HO)2,mp-625671,,mp-625671
888,mp-614005,VCuO3,mp-562987,,mp-562987
902,mp-782714,LiV2(OF)3,mp-754467,,mp-754467
903,mp-775985,V2NiO6,,,NaN
911,mp-765553,LiNi3OF5,,,NaN
912,mp-765532,LiV3O5F,,,NaN
913,mp-765867,LiV3(O2F)2,,,NaN
914,mp-767123,LiMn3(O2F)2,,,NaN
915,mp-765272,Li2V2OF5,,,NaN
916,mp-764144,LiCo3OF5,,,NaN
917,mp-505200,CoCuP2O7,,,NaN
920,mp-763323,LiMn2(BO3)2,mp-759375,,mp-759375
922,mp-565192,CuBi(WO4)2,mp-556640,,mp-556640
928,mp-25483,LiCo(WO4)2,mp-25289,,mp-25289
929,mp-767044,Li2MnO2F,mp-753364,,mp-753364
930,mp-767186,LiMn3(OF3)2,mp-753440,,mp-753440
931,mp-773569,LiFe3(OF3)2,mp-756353,,mp-756353
933,mp-779211,Li2MnFe(BO3)2,,,NaN
937,mp-763696,Li5(CoO3)2,mp-753251,,mp-753251
938,mp-767108,LiMn2(PO4)2,mp-753476,,mp-753476
939,mp-767263,LiFe2(PO4)2,,mp-767222,mp-767222
940,mp-767274,Li3MnSi2O7,mp-753370,,mp-753370
